"id_i","parent_id_i","path_i","type_i","name_s","description_s","accessKey_s","secretKey_s","token_s","username_s","password_s","from_h","to_h"
"00000000-0000-0000-0000-100000000032","c7c17fbf-8482-46c0-8177-4040b285eab9","/sources/connections/credentials","userNamePasswordCredential","correct",,,,,"one","crypted:AES_CBC:I:MtaamzfrVhYUgEJEXjmswdaPF6wWBfJxuyNC+qbTWMo=","73",
"00000000-0000-0000-0000-100000000033","c7c17fbf-8482-46c0-8177-4040b285eab9","/sources/connections/credentials","userNamePasswordCredential","incorrect",,,,,"one","crypted:AES_CBC:I:f8V+meNn6ZIhLE4erjwsitqAoFWNjaDBo9/1+LL5Qjc=","73",
"00000000-0000-0000-0000-000000000032","cfce266c-4075-49da-ad69-c7f329471c18","/sources/connections/credentials","userNamePasswordCredential","correct",,,,,"one","crypted:AES_CBC:I:ZYHshf1CvH3uiPOR37bQoy2mrRh6GcBR4jL+Xk0vp78=","73",
"00000000-0000-0000-0000-000000000033","cfce266c-4075-49da-ad69-c7f329471c18","/sources/connections/credentials","userNamePasswordCredential","incorrect",,,,,"one","crypted:AES_CBC:I:+HnRAhr3TO0W1j4zTShl0+FYZH0wP3kzT8WDX0whtjE=","73",
"00000000-0000-0000-0000-000000000034","ad2553e8-af9e-4271-b354-a993494a2078","/sources/connections/credentials","userNamePasswordCredential","correct",,,,,"tapeer-user","crypted:AES_CBC:I:aq1aIrMRQC+utGnUARgl1aVwl424ZU5A3EmadhnU8Yo=","73",
"00000000-0000-0000-0000-000000000035","ad2553e8-af9e-4271-b354-a993494a2078","/sources/connections/credentials","userNamePasswordCredential","incorrect",,,,,"tapeer-user","crypted:AES_CBC:I:Rk93VdGJ+Lo/zBTGcuKpJ5AoBaJd+bzbdMe/h3HInGM=","73",
"00000000-0000-0000-0000-000000000036","10dca55a-2be8-459b-a4e6-44dd0f018cfb","/sources/connections/credentials","userNamePasswordCredential","correct mysql",,,,,"tapeer-user","crypted:AES_CBC:I:/HtdRB3Z/WpOZ/coAqAxw82MLcNO6jBKqSPa6neT5fI=","73",
"00000000-0000-0000-0000-000000000037","10dca55a-2be8-459b-a4e6-44dd0f018cfb","/sources/connections/credentials","userNamePasswordCredential","incorrect mysql",,,,,"tapeer-user","crypted:AES_CBC:I:S0FyqzKEMxzFOhpDSHceJJ472BJLBMONZhQrnHjPwTc=","73",
"19cf0c87-0959-47ec-9990-dd6e5476e8f6","2e42a730-3a6e-4c50-ace7-f92b633edd65","/sources/connections/credentials","userNamePasswordCredential","test","test",,,,"test","crypted:AES_CBC:I:UfEhTSaWdbNWvTf09o8aGWH1TBiPz8wH8jEe4/d/DXg=","73",
"54a43430-7dad-40a6-b4ab-b3187e77be4e","b2325313-30a6-4057-9cdf-bc5aa5845165","/sources/connections/credentials","s3Credential","test","test","AKIA6MSCQS5C5O2VDNXC","crypted:AES_CBC:I:ymBJN0w6KyJ055gF8pqtxxfdsfsynFknvJLjGpPvmc3i06+warGegwzjKI4RNkyBUwQeoBwlauEU7CH8JIRKyQ==",,,,"73",
